Change Component Designator: Old Designator=DS? New Designator=DS1
Change Component Designator: Old Designator=R? New Designator=R17
Change Component Designator: Old Designator=R? New Designator=R18
Change Component Designator: Old Designator=U? New Designator=U10
Change Component Designator: Old Designator=U? New Designator=U11
Change Component Designator: Old Designator=U? New Designator=U10
Change Component Designator: Old Designator=U? New Designator=U11
Change Component Designator: Old Designator=U? New Designator=U10
Change Component Designator: Old Designator=U? New Designator=U11
Change Component Designator: Old Designator=U? New Designator=U10
Change Component Designator: Old Designator=U? New Designator=U11
Change Component Designator: Old Designator=U? New Designator=U10
Change Component Designator: Old Designator=U? New Designator=U11
